scenario,description,state(s),building type(s),onsite pct fossil reduction,energy index improvement,stretch pct improvement,start year,applicable fraction,fraction notes,type
aggressive,"Seattle’s updated Energy Code (CB 119993 / Ordinance 126279) effectively bans natural gas in most new commercial and large residential buildings by requiring electric heating and hot water systems instead of fossil fuel-based systems.

https://www.bdlaw.com/publications/seattle-bans-natural-gas-in-new-buildings/",WA,"all commercial, multi family home",100,,,2022,0.316,"Fraction represents King County, Seattle City, all commercial/multifamily buildings over 3 stories, used site_energy",local
aggressive,Assume state-wide code similar to CA enacted by 2030.,WA,"all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state
aggressive,Assume state-wide code similar to CA enacted by 2030.,WA,"all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state
reference,"DC is banning most natural gas use in new buildings/preventing buildings from using “on-site fuel combustion” for furnaces or water heaters and instruction to the mayor to create the new net-zero building codes no later than December 31, 2026.

https://www.ncelenviro.org/articles/washington-d-c-passes-ban-on-most-natural-gas-use-in-new-buildings/

https://code.dccouncil.gov/us/dc/council/laws/24-177",DC,"all commercial, multi family home",100,,,2027,1,,state
optimistic,"DC is banning most natural gas use in new buildings/preventing buildings from using “on-site fuel combustion” for furnaces or water heaters and instruction to the mayor to create the new net-zero building codes no later than December 31, 2026.

https://www.ncelenviro.org/articles/washington-d-c-passes-ban-on-most-natural-gas-use-in-new-buildings/

https://code.dccouncil.gov/us/dc/council/laws/24-177",DC,"all commercial, multi family home",100,,,2027,1,,state
aggressive,"DC is banning most natural gas use in new buildings/preventing buildings from using “on-site fuel combustion” for furnaces or water heaters and instruction to the mayor to create the new net-zero building codes no later than December 31, 2026.

https://www.ncelenviro.org/articles/washington-d-c-passes-ban-on-most-natural-gas-use-in-new-buildings/

https://code.dccouncil.gov/us/dc/council/laws/24-177",DC,"all commercial, multi family home",100,,,2027,1,,state
remove,"Building codes in Denver ban natural gas furnaces and water heaters in new commercial and multifamily construction starting in 2024

https://denvergazette.com/news/business/denver-imposes-natural-gas-ban-on-heating-cooling-equipment-in-commercial-buildings-multi-family-housing/article_e8a5352c-b6f1-11ed-b6f5-2bbe6c6ff924.html",CO,"all commercial, multi family home",100,,,2024,0.2,filtered for natural gas/Denver city multifamily res and Denver county comm,state
reference,"Building codes in Denver ban natural gas furnaces and water heaters in new commercial and multifamily construction starting in 2024

https://denvergazette.com/news/business/denver-imposes-natural-gas-ban-on-heating-cooling-equipment-in-commercial-buildings-multi-family-housing/article_e8a5352c-b6f1-11ed-b6f5-2bbe6c6ff924.html",CO,all commercial,100,,,2027,0.183,filtered for natural gas/Denver county comm,local
reference,"In June of 2024, the City of Boulder, Colorado passed a code that bans the use of gas-powered appliances in newly built properties as well as the discontinuation of gas services for existing properties. The code officially went into effect on December 1, 2024.

https://thegasconnection.com/what-you-need-to-know-about-the-boulder-gas-line-ban/",CO,"all commercial, all residential",100,,,2024,0.041,"filtered for natural gas/Boulder city multifamily res and Boulder county comm, natural_gas",local
remove,"Building codes in Denver ban natural gas furnaces and water heaters in new commercial and multifamily construction starting in 2024

https://denvergazette.com/news/business/denver-imposes-natural-gas-ban-on-heating-cooling-equipment-in-commercial-buildings-multi-family-housing/article_e8a5352c-b6f1-11ed-b6f5-2bbe6c6ff924.html",CO,"all commercial, multi family home",100,,,2024,0.2,filtered for natural gas/Denver city multifamily res and Denver county comm,state
optimistic,"Building codes in Denver ban natural gas furnaces and water heaters in new commercial and multifamily construction starting in 2024

https://denvergazette.com/news/business/denver-imposes-natural-gas-ban-on-heating-cooling-equipment-in-commercial-buildings-multi-family-housing/article_e8a5352c-b6f1-11ed-b6f5-2bbe6c6ff924.html",CO,all commercial,100,,,2027,0.183,filtered for natural gas/Denver county comm,local
optimistic,"In June of 2024, the City of Boulder, Colorado passed a code that bans the use of gas-powered appliances in newly built properties as well as the discontinuation of gas services for existing properties. The code officially went into effect on December 1, 2024.

https://thegasconnection.com/what-you-need-to-know-about-the-boulder-gas-line-ban/",CO,"all commercial, all residential",100,,,2024,0.041,"filtered for natural gas/Boulder city multifamily res and Boulder county comm, natural_gas",local
optimistic,Assume state-wide code similar to CA enacted by 2030.,CO,"all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state
optimistic,Assume state-wide code similar to CA enacted by 2030.,CO,"all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state
remove,"Building codes in Denver ban natural gas furnaces and water heaters in new commercial and multifamily construction starting in 2024

https://denvergazette.com/news/business/denver-imposes-natural-gas-ban-on-heating-cooling-equipment-in-commercial-buildings-multi-family-housing/article_e8a5352c-b6f1-11ed-b6f5-2bbe6c6ff924.html",CO,"all commercial, multi family home",100,,,2024,0.2,filtered for natural gas/Denver city multifamily res and Denver county comm,state
aggressive,"Building codes in Denver ban natural gas furnaces and water heaters in new commercial and multifamily construction starting in 2024

https://denvergazette.com/news/business/denver-imposes-natural-gas-ban-on-heating-cooling-equipment-in-commercial-buildings-multi-family-housing/article_e8a5352c-b6f1-11ed-b6f5-2bbe6c6ff924.html",CO,all commercial,100,,,2027,0.183,filtered for natural gas/Denver county comm,local
aggressive,"In June of 2024, the City of Boulder, Colorado passed a code that bans the use of gas-powered appliances in newly built properties as well as the discontinuation of gas services for existing properties. The code officially went into effect on December 1, 2024.

https://thegasconnection.com/what-you-need-to-know-about-the-boulder-gas-line-ban/",CO,"all commercial, all residential",100,,,2024,0.041,"filtered for natural gas/Boulder city multifamily res and Boulder county comm, natural_gas",local
aggressive,Assume state-wide code similar to CA enacted by 2030.,CO,"all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state
aggressive,Assume state-wide code similar to CA enacted by 2030.,CO,"all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state
reference,"Clean Energy for Federal Buildings Rule: Mandates a 90% reduction in on-site fossil fuel consumption for new federal buildings and major renovations within five years, aiming for complete elimination by 2030",all,all commercial,90,none,,2029,0.03,"Divide the total goal-subject federal facility consumption in 2023 (308 tbtu, https://ctsedwweb.ee.doe.gov/Annual/Report/Report.aspx) by the total commercail building site energy consumption in 2023 (9465 tbtu, https://www.eia.gov/totalenergy/data/browser/index.php?tbl=T02.03#/?f=A&start=2000&end=2024&charted=15)",federal
reference,"Clean Energy for Federal Buildings Rule: Mandates a 90% reduction in on-site fossil fuel consumption for new federal buildings and major renovations within five years, aiming for complete elimination by 2030",all,all commercial,100,none,,2030,0.03,"Divide the total goal-subject federal facility consumption in 2023 (308 tbtu, https://ctsedwweb.ee.doe.gov/Annual/Report/Report.aspx) by the total commercail building site energy consumption in 2023 (9465 tbtu, https://www.eia.gov/totalenergy/data/browser/index.php?tbl=T02.03#/?f=A&start=2000&end=2024&charted=15)",federal
optimistic,"Clean Energy for Federal Buildings Rule: Mandates a 90% reduction in on-site fossil fuel consumption for new federal buildings and major renovations within five years, aiming for complete elimination by 2030",all,all commercial,90,none,,2029,0.03,"Divide the total goal-subject federal facility consumption in 2023 (308 tbtu, https://ctsedwweb.ee.doe.gov/Annual/Report/Report.aspx) by the total commercail building site energy consumption in 2023 (9465 tbtu, https://www.eia.gov/totalenergy/data/browser/index.php?tbl=T02.03#/?f=A&start=2000&end=2024&charted=15)",federal
optimistic,"Clean Energy for Federal Buildings Rule: Mandates a 90% reduction in on-site fossil fuel consumption for new federal buildings and major renovations within five years, aiming for complete elimination by 2030",all,all commercial,100,none,,2030,0.03,"Divide the total goal-subject federal facility consumption in 2023 (308 tbtu, https://ctsedwweb.ee.doe.gov/Annual/Report/Report.aspx) by the total commercail building site energy consumption in 2023 (9465 tbtu, https://www.eia.gov/totalenergy/data/browser/index.php?tbl=T02.03#/?f=A&start=2000&end=2024&charted=15)",federal
optimistic,States currently considering adopting more aggressive codes update to the latest available code by 2030,"CT, NM, OR, PA","all residential, all commercial",,adopt current,,2030,1,,state
optimistic,States currently considering adopting more aggressive codes update to the latest available code by 2030,"CT, NM, OR, PA","all residential, all commercial",,adopt current,,2030,1,,state
aggressive,"Clean Energy for Federal Buildings Rule: Mandates a 90% reduction in on-site fossil fuel consumption for new federal buildings and major renovations within five years, aiming for complete elimination by 2030",all,all commercial,90,none,,2029,0.03,"Divide the total goal-subject federal facility consumption in 2023 (308 tbtu, https://ctsedwweb.ee.doe.gov/Annual/Report/Report.aspx) by the total commercail building site energy consumption in 2023 (9465 tbtu, https://www.eia.gov/totalenergy/data/browser/index.php?tbl=T02.03#/?f=A&start=2000&end=2024&charted=15)",federal
aggressive,"Clean Energy for Federal Buildings Rule: Mandates a 90% reduction in on-site fossil fuel consumption for new federal buildings and major renovations within five years, aiming for complete elimination by 2030",all,all commercial,100,none,,2030,0.03,"Divide the total goal-subject federal facility consumption in 2023 (308 tbtu, https://ctsedwweb.ee.doe.gov/Annual/Report/Report.aspx) by the total commercail building site energy consumption in 2023 (9465 tbtu, https://www.eia.gov/totalenergy/data/browser/index.php?tbl=T02.03#/?f=A&start=2000&end=2024&charted=15)",federal
aggressive,States currently considering adopting more aggressive codes update to something similar to the CA code model by 2030; all remaining US Climate Alliance states follow by 2035.,"CT, NM, OR, PA","all residential, all commercial",100,adopt current,,2030,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state
aggressive,States currently considering adopting more aggressive codes update to something similar to the CA code model by 2030; all remaining US Climate Alliance states follow by 2035.,"CT, NM, OR, PA","all residential, all commercial",,stretch,20,2030,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state
aggressive,States currently considering adopting more aggressive codes update to something similar to the CA code model by 2030; all remaining US Climate Alliance states follow by 2035.,"AZ, MN, WI, MI, NH, NC, DE, VT, HI","all residential, all commercial",100,adopt current,,2035,0.8,Assume majority of builders go electric route to avoid more stringent efficiency requirements.,state
aggressive,States currently considering adopting more aggressive codes update to something similar to the CA code model by 2030; all remaining US Climate Alliance states follow by 2035.,"AZ, MN, WI, MI, NH, NC, DE, VT, HI","all residential, all commercial",,stretch,20,2035,0.2,Assume minority of builders install gas while choosing to meet more stringent efficiency requirements.,state
